Date,Time_in_min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,temp_internal
01.06.16 14:07:48,0.03,0,255.86,261.71,259.45,267.59,233.7,229.33,242.06,242.5,230.2,220.64,237.21,233.7,No Sensor,240.29,246.49,237.65,241.62,253.17,241.18,236.77,235.01,248.27,251.39,23.09
01.06.16 14:08:03,0.28,0,257.21,263.06,259.45,266.68,235.45,229.76,243.83,241.62,229.76,221.94,238.53,235.89,No Sensor,240.74,249.16,238.53,241.62,256.76,245.16,237.65,235.01,247.82,252.73,23.07
01.06.16 14:08:18,0.53,0,257.21,263.96,261.26,266.23,235.45,229.76,244.27,241.18,229.33,221.94,238.97,237.65,No Sensor,241.18,249.16,238.09,241.62,254.52,243.39,237.21,233.26,250.94,252.73,23.05
01.06.16 14:08:33,0.78,0,257.21,264.87,262.61,264.87,236.77,229.33,243.83,242.06,231.07,221.94,239.85,238.09,No Sensor,238.97,247.82,238.53,241.18,254.07,243.83,236.77,234.58,249.6,253.17,23.04
01.06.16 14:08:48,1.03,0,257.21,265.32,262.61,264.42,237.65,230.2,243.39,241.62,230.2,221.08,239.41,236.33,No Sensor,239.85,247.82,238.97,241.18,255.86,242.94,239.41,233.7,249.16,252.28,23.03
01.06.16 14:09:03,1.28,0,258.1,265.32,263.51,265.32,238.97,229.33,244.27,242.06,229.33,222.37,240.29,239.41,No Sensor,239.41,248.27,239.85,241.18,259,241.18,237.65,234.58,249.6,254.96,23.02
01.06.16 14:09:18,1.53,0,259,264.87,262.16,263.96,238.97,229.76,245.16,240.74,228.89,221.94,240.74,238.53,No Sensor,238.97,246.93,238.97,238.97,258.1,242.94,238.53,231.95,248.27,253.17,23
01.06.16 14:09:33,1.78,0,257.66,264.87,260.8,264.42,238.09,229.33,244.27,239.85,227.59,219.78,238.53,236.77,No Sensor,238.97,246.49,238.09,236.77,257.21,241.62,237.21,234.58,246.49,253.17,23
01.06.16 14:09:48,2.03,0,259.45,263.96,262.61,263.51,238.97,228.46,243.83,239.85,228.02,219.78,240.29,236.77,No Sensor,238.09,247.82,238.53,238.97,258.1,242.5,238.53,231.95,248.27,255.86,22.98
01.06.16 14:10:03,2.28,0,260.35,264.42,262.61,262.61,239.85,227.15,243.83,241.18,226.71,219.78,240.29,236.77,No Sensor,238.53,246.05,237.21,238.09,257.66,241.62,237.65,231.51,249.6,254.07,23
01.06.16 14:10:18,2.53,0,259.9,265.32,262.16,263.96,240.74,227.15,242.94,238.97,226.28,219.78,239.41,236.33,No Sensor,235.89,246.05,237.65,238.97,257.66,238.53,236.77,232.82,249.16,255.86,23
01.06.16 14:10:33,2.78,0,260.8,265.32,263.06,263.06,238.97,226.71,243.39,239.85,227.59,219.35,239.41,236.33,No Sensor,238.09,245.6,237.21,239.85,260.8,241.18,239.85,233.26,251.83,254.52,23
01.06.16 14:10:48,3.03,0,259.45,263.06,261.26,262.16,238.97,225.85,243.39,238.97,225.41,217.19,237.65,234.14,No Sensor,236.77,245.16,235.45,237.65,259,237.21,238.53,231.51,247.38,255.41,23
01.06.16 14:11:03,3.28,0,259,264.42,263.51,261.71,237.21,225.85,243.39,239.85,224.98,216.76,239.41,235.45,No Sensor,235.01,245.16,235.89,236.33,259.45,238.97,239.41,231.51,249.16,253.62,23
01.06.16 14:11:18,3.53,0,259.45,265.77,263.06,261.71,238.53,225.85,242.5,238.97,225.41,217.62,237.65,235.45,No Sensor,235.45,243.39,237.21,237.21,258.55,238.09,238.53,231.51,247.82,254.96,23.02
01.06.16 14:11:33,3.78,0,260.35,266.68,263.06,261.71,236.77,225.85,242.5,238.53,225.85,215.9,238.09,233.7,No Sensor,235.89,244.27,235.45,238.97,257.21,238.97,238.97,230.2,249.16,256.76,23.02
01.06.16 14:11:48,4.03,0,259,266.23,262.61,261.71,238.09,223.67,242.94,239.41,225.41,218.05,238.09,235.89,No Sensor,235.01,244.72,235.45,237.21,256.76,236.77,240.74,230.2,246.93,254.96,23.02
01.06.16 14:12:03,4.28,0,261.26,265.77,263.51,261.71,238.53,224.11,242.94,239.85,224.11,217.19,238.53,235.89,No Sensor,233.26,241.62,233.7,236.33,258.1,236.33,239.85,230.2,248.71,255.41,23.04
01.06.16 14:12:19,4.55,0,260.8,265.32,264.87,261.26,238.09,224.11,243.39,238.97,226.28,213.75,238.09,234.58,No Sensor,234.14,241.18,235.01,237.65,259,237.65,239.85,229.33,246.93,254.96,23.04
01.06.16 14:12:34,4.8,0,260.35,266.23,263.51,262.16,237.21,223.24,243.39,238.97,225.85,216.33,237.65,235.01,No Sensor,234.14,241.18,233.7,238.09,258.1,238.09,238.53,228.46,247.38,254.52,23.04
01.06.16 14:12:49,5.05,0,260.35,265.77,264.42,261.71,239.41,222.37,242.5,238.09,224.98,212.47,238.09,234.14,No Sensor,233.26,240.74,234.58,235.89,258.1,236.77,239.85,228.89,246.05,255.41,23.04
01.06.16 14:13:04,5.3,0,260.8,266.23,263.51,260.35,238.97,221.94,241.62,239.41,224.11,212.9,237.65,233.26,No Sensor,234.58,241.62,234.14,237.65,259,234.58,239.41,227.59,244.72,256.76,23.04
01.06.16 14:13:19,5.55,0,259.9,264.87,262.61,261.71,237.21,221.94,242.06,238.09,223.67,210.75,238.09,233.26,No Sensor,231.51,240.74,233.26,237.21,256.31,235.01,238.09,226.28,246.93,254.07,23.07
01.06.16 14:13:34,5.8,0,261.71,266.23,263.96,262.61,237.21,221.51,242.5,238.09,224.54,213.32,238.53,235.01,No Sensor,233.7,241.18,232.82,238.09,256.31,234.58,239.85,228.46,247.38,256.31,23.09
01.06.16 14:13:49,6.05,0,260.35,265.77,263.06,259.9,237.65,220.64,241.62,237.65,223.67,211.18,238.09,235.01,No Sensor,233.26,240.74,231.95,236.77,255.86,232.39,238.97,227.15,246.05,256.31,23.07
01.06.16 14:14:04,6.3,0,261.26,266.23,263.96,261.26,235.89,219.78,241.62,238.09,223.24,210.33,238.09,235.01,No Sensor,230.64,240.74,231.95,236.33,257.21,234.14,237.21,224.11,246.49,255.41,23.07
01.06.16 14:14:19,6.55,0,259.45,264.87,263.51,261.71,237.21,219.78,242.06,236.77,222.37,209.47,238.09,233.26,No Sensor,232.82,241.62,233.26,236.33,257.66,231.95,238.09,225.85,244.72,256.31,23.09
01.06.16 14:14:34,6.8,0,260.35,265.32,264.42,260.35,235.89,219.78,240.29,237.65,221.51,209.9,238.09,234.58,No Sensor,229.76,240.29,232.39,233.26,257.66,232.82,238.53,223.24,243.39,257.21,23.11
01.06.16 14:14:49,7.05,0,260.35,264.87,263.51,261.26,238.09,219.35,241.62,236.77,221.51,212.04,238.09,234.14,No Sensor,231.51,240.29,230.64,233.26,255.86,231.51,238.09,224.54,243.39,254.52,23.11
01.06.16 14:15:04,7.3,0,261.26,265.77,263.51,260.35,236.77,217.62,241.18,236.33,221.08,211.61,238.09,236.33,No Sensor,228.89,239.85,231.95,235.01,259,231.51,238.53,221.94,244.72,257.21,23.13
01.06.16 14:15:19,7.55,0,260.8,266.23,263.51,262.16,236.33,218.92,240.29,237.21,220.64,209.47,238.53,235.89,No Sensor,230.64,241.18,233.26,233.7,258.55,231.07,239.41,223.67,244.72,257.21,23.14
01.06.16 14:15:34,7.8,0,260.8,266.23,263.51,260.35,236.33,217.62,239.41,236.33,219.78,208.19,237.65,234.14,No Sensor,229.76,239.85,230.64,231.51,256.31,231.51,239.41,221.08,242.5,255.41,23.16
01.06.16 14:15:49,8.05,0,260.8,266.68,264.42,260.8,236.33,217.62,239.85,236.33,219.35,206.49,237.65,234.58,No Sensor,227.59,238.97,231.95,234.14,255.41,228.89,238.97,219.78,241.18,255.41,23.16
01.06.16 14:16:04,8.3,0,261.71,267.13,264.42,260.35,235.89,216.76,240.29,235.45,217.62,207.76,238.09,233.7,No Sensor,227.15,237.65,231.07,231.51,257.66,231.07,235.45,221.08,241.18,254.96,23.16
01.06.16 14:16:19,8.55,0,260.35,265.32,262.61,260.35,235.45,215.9,238.97,235.89,218.49,206.49,238.53,232.82,No Sensor,229.33,237.65,230.64,231.51,257.21,228.46,237.21,219.78,242.06,257.21,23.18
01.06.16 14:16:34,8.8,0,261.26,263.96,263.51,259.9,235.45,215.47,238.53,235.01,218.05,204.36,238.09,233.7,No Sensor,226.71,236.77,231.07,231.07,257.66,227.59,238.53,221.94,242.06,255.86,23.18
01.06.16 14:16:49,9.05,0,261.71,266.23,263.51,260.8,235.89,215.9,238.09,235.89,217.62,204.78,238.09,234.58,No Sensor,228.02,236.77,230.64,233.26,257.21,229.33,239.85,219.35,242.06,255.86,23.2
01.06.16 14:17:04,9.3,0,260.8,265.77,264.42,261.71,235.01,214.61,237.65,235.45,217.62,205.64,238.53,233.7,No Sensor,228.02,237.21,229.33,232.39,256.76,226.28,239.85,221.94,239.41,257.21,23.2
01.06.16 14:17:19,9.55,0,260.8,265.32,263.51,260.8,235.01,215.04,237.65,235.01,216.76,202.66,237.21,232.39,No Sensor,227.59,235.89,229.33,232.82,257.66,227.15,237.65,221.08,241.62,257.21,23.21
01.06.16 14:17:34,9.8,0,261.26,266.23,263.96,261.26,235.45,215.47,237.65,235.89,215.9,203.51,238.09,232.39,No Sensor,227.15,235.45,229.76,230.64,256.31,227.59,237.21,220.64,240.74,256.76,23.22
01.06.16 14:17:49,10.05,0,259.45,265.77,263.06,260.8,234.58,213.75,237.21,235.45,215.47,203.93,237.65,230.64,No Sensor,226.28,236.33,229.33,230.2,258.1,225.85,237.21,219.78,238.53,256.76,23.23
01.06.16 14:18:04,10.3,0,261.71,265.77,262.61,260.35,234.58,214.18,236.33,235.45,213.75,201.81,236.33,232.82,No Sensor,223.67,236.33,229.76,231.51,258.1,224.11,238.09,217.62,238.53,256.76,23.23
01.06.16 14:18:19,10.55,0,261.26,265.77,263.06,259.45,234.58,214.61,235.45,235.01,214.18,200.97,237.65,231.95,No Sensor,223.67,235.45,228.02,230.2,256.76,224.98,237.21,218.05,236.77,257.21,23.23
01.06.16 14:18:34,10.8,0,261.26,265.32,263.51,259.9,234.58,214.61,236.77,234.14,215.04,199.27,237.21,231.07,No Sensor,224.11,237.21,228.89,230.2,257.21,225.41,238.53,219.35,238.53,256.31,23.25
01.06.16 14:18:49,11.05,0,260.8,265.77,264.42,260.8,234.58,214.18,235.45,235.01,214.61,201.81,237.65,232.39,No Sensor,222.81,237.65,229.76,229.76,257.21,224.11,237.21,218.49,238.97,257.21,23.27
01.06.16 14:19:04,11.3,0,260.35,266.23,264.87,261.26,234.58,214.18,235.45,235.01,214.18,201.81,237.21,232.39,No Sensor,225.85,236.33,229.33,230.64,255.86,224.98,237.21,219.78,236.33,257.66,23.27
01.06.16 14:19:19,11.55,0,261.26,266.68,263.96,261.71,234.14,212.9,235.01,235.89,215.04,198.43,237.21,231.07,No Sensor,224.98,236.77,230.2,228.89,255.86,225.41,238.53,216.76,235.01,258.55,23.28
01.06.16 14:19:34,11.8,0,260.8,265.77,263.06,260.8,233.26,213.32,235.01,234.58,215.04,198.43,236.77,231.51,No Sensor,224.11,233.7,228.89,229.76,258.55,223.24,238.09,215.9,235.01,255.41,23.29
01.06.16 14:19:50,12.07,0,261.26,266.68,264.42,261.26,233.26,212.04,234.14,234.14,214.61,199.27,237.65,230.2,No Sensor,222.81,235.89,227.15,227.59,255.86,222.37,238.09,216.76,238.09,257.21,23.29
01.06.16 14:20:05,12.32,0,260.35,264.87,264.42,261.26,233.7,211.61,233.7,235.01,214.18,199.27,236.77,231.07,No Sensor,221.51,234.14,226.28,226.71,255.86,224.54,237.21,215.04,236.77,256.76,23.29
01.06.16 14:20:20,12.57,0,260.8,265.32,263.51,260.35,233.7,210.75,233.26,234.14,213.75,199.27,236.77,231.07,No Sensor,221.94,234.58,226.71,228.89,255.41,224.54,236.77,215.04,235.89,256.31,23.3
01.06.16 14:20:35,12.82,0,261.71,265.32,263.51,261.26,233.7,210.33,233.26,233.7,213.75,198.43,235.89,230.64,No Sensor,221.94,233.26,227.59,227.59,258.55,224.54,237.65,216.33,236.77,256.76,23.3
01.06.16 14:20:50,13.07,0,261.26,265.77,264.42,261.26,232.82,209.47,232.82,234.58,213.32,196.74,235.89,231.07,No Sensor,221.51,231.95,226.71,227.15,255.86,222.81,239.85,215.04,235.01,257.21,23.32
01.06.16 14:21:05,13.32,0,260.8,266.23,263.96,260.35,232.39,209.47,231.51,234.14,212.9,197.16,235.89,231.07,No Sensor,220.64,231.07,227.59,225.41,257.21,223.24,238.53,214.61,233.7,257.21,23.32
01.06.16 14:21:20,13.57,0,261.71,265.32,263.96,260.35,232.39,209.9,230.64,233.26,212.04,196.74,235.89,231.07,No Sensor,221.08,233.26,227.59,225.41,254.96,223.67,237.65,213.75,234.58,254.52,23.34
01.06.16 14:21:35,13.82,0,261.26,265.77,264.42,260.8,232.39,209.47,230.64,233.7,211.61,196.32,236.77,230.64,No Sensor,220.64,231.07,228.02,227.15,256.31,224.54,237.21,213.75,232.39,255.41,23.34
01.06.16 14:21:50,14.07,0,261.71,265.32,264.42,261.26,233.26,209.47,230.64,233.26,211.18,196.32,237.21,230.2,No Sensor,221.08,231.51,228.02,227.59,254.96,224.98,238.97,211.61,231.95,252.73,23.34
01.06.16 14:22:05,14.32,0,261.26,265.77,264.87,261.26,232.39,209.05,230.2,232.39,209.9,198.01,236.33,231.07,No Sensor,219.78,230.64,229.33,226.71,257.21,223.67,238.53,212.47,232.82,251.83,23.34
01.06.16 14:22:20,14.57,0,260.8,266.23,263.96,260.8,231.51,208.19,229.33,233.7,210.33,198.85,235.89,231.51,No Sensor,219.78,231.07,229.33,224.98,254.07,223.67,237.21,211.61,231.95,253.62,23.36
01.06.16 14:22:35,14.82,0,261.26,266.68,263.96,259.9,231.95,209.05,228.89,233.26,209.47,195.9,235.89,228.89,No Sensor,218.92,229.76,228.46,225.41,257.21,222.81,237.65,212.47,230.64,251.39,23.36
01.06.16 14:22:50,15.07,0,261.71,266.68,263.51,260.35,231.95,207.34,228.89,232.82,209.9,198.85,235.89,230.2,No Sensor,220.64,229.76,230.64,223.67,258.1,223.24,236.77,212.04,232.39,251.83,23.38
01.06.16 14:23:05,15.32,0,261.26,266.68,263.96,261.26,230.2,206.49,227.15,232.39,208.19,196.32,235.01,229.33,No Sensor,219.35,229.33,229.33,224.11,256.76,221.08,236.77,209.9,230.2,251.39,23.39
01.06.16 14:23:20,15.57,0,261.71,266.23,264.87,260.35,230.64,206.91,227.59,233.26,207.76,197.16,235.45,229.33,No Sensor,221.08,227.59,230.64,224.11,256.76,222.37,237.21,211.61,231.07,251.83,23.39
01.06.16 14:23:35,15.82,0,260.8,264.87,263.96,260.35,230.2,206.49,225.85,232.39,207.34,195.48,234.58,226.71,No Sensor,219.78,228.46,229.33,223.24,257.21,222.81,234.58,211.18,229.76,250.94,23.39
01.06.16 14:23:50,16.07,0,261.71,266.68,264.87,260.8,231.07,205.64,226.71,232.82,207.34,193.37,234.58,228.02,No Sensor,220.64,227.59,230.2,223.24,254.96,223.24,236.33,208.19,230.2,252.73,23.39
01.06.16 14:24:05,16.32,0,261.71,266.68,264.42,260.35,229.33,204.78,226.28,232.39,207.34,195.48,234.14,225.41,No Sensor,218.05,226.71,230.64,222.37,256.76,220.21,235.45,209.47,229.33,251.39,23.39
01.06.16 14:24:20,16.57,0,262.61,265.77,264.42,261.26,231.07,204.78,226.28,233.26,207.34,195.06,234.14,225.41,No Sensor,218.05,226.71,232.39,221.08,257.66,220.64,235.89,206.91,230.64,251.83,23.41
01.06.16 14:24:35,16.82,0,262.61,266.23,264.42,260.8,230.64,204.36,225.85,233.26,206.49,193.8,234.14,228.02,No Sensor,219.35,227.59,232.39,221.51,258.1,220.64,235.01,208.62,230.2,251.83,23.41
01.06.16 14:24:50,17.07,0,262.16,266.68,263.96,260.8,229.76,203.09,226.28,232.39,206.49,194.22,234.14,227.59,No Sensor,220.21,227.15,234.58,222.37,257.66,219.35,235.45,208.62,228.89,249.16,23.41
01.06.16 14:25:05,17.32,0,261.71,265.77,264.87,260.35,229.76,203.09,226.71,231.95,206.49,192.12,233.7,226.28,No Sensor,219.35,226.28,235.01,221.08,257.66,220.21,235.45,206.49,228.46,250.94,23.43
01.06.16 14:25:20,17.57,0,261.26,266.23,264.42,260.35,230.2,201.39,226.28,231.95,206.06,192.12,233.7,227.59,No Sensor,220.21,227.59,235.01,220.64,255.86,218.05,235.45,208.19,229.76,251.83,23.43
01.06.16 14:25:35,17.82,0,261.26,265.77,263.96,259.45,229.33,201.39,225.41,231.07,205.64,189.18,232.39,226.71,No Sensor,216.76,226.28,236.77,217.62,256.31,218.05,234.58,209.05,230.2,248.71,23.43
01.06.16 14:25:50,18.07,0,261.71,265.77,264.87,260.35,229.33,201.81,226.28,232.39,206.91,191.7,232.39,226.71,No Sensor,218.05,226.28,235.89,218.49,254.52,218.92,236.33,209.05,228.02,249.16,23.45
01.06.16 14:26:05,18.32,0,262.16,266.68,265.32,260.8,230.2,200.97,226.71,231.95,206.91,189.18,232.39,225.41,No Sensor,218.49,226.28,236.33,219.78,258.55,218.05,235.89,209.05,229.76,250.49,23.43
01.06.16 14:26:20,18.57,0,261.26,266.68,264.87,259.45,229.33,199.7,227.15,231.51,206.06,188.35,232.39,224.54,No Sensor,220.21,224.54,237.21,216.76,254.96,215.9,233.7,209.47,229.76,250.49,23.46
01.06.16 14:26:35,18.82,0,260.8,266.23,264.42,259.9,228.02,199.7,226.28,231.51,205.64,190.44,232.39,225.41,No Sensor,218.49,224.98,237.65,216.76,254.96,216.33,233.7,209.05,226.28,250.05,23.46
01.06.16 14:26:50,19.07,0,261.71,265.77,263.96,260.35,228.46,198.43,225.85,231.51,205.21,188.35,233.26,224.54,No Sensor,215.47,225.85,236.77,218.05,255.41,217.19,235.01,206.06,227.15,249.6,23.47
01.06.16 14:27:05,19.32,0,261.26,266.23,264.87,260.35,227.59,198.85,225.85,231.51,204.36,189.6,233.7,226.28,No Sensor,215.47,224.98,236.77,216.76,256.31,215.04,233.26,207.34,229.33,248.27,23.47
01.06.16 14:27:20,19.57,0,262.61,265.77,263.96,260.35,228.02,198.01,225.41,230.2,204.78,187.93,233.26,226.71,No Sensor,215.9,223.24,236.77,216.76,254.07,214.18,234.14,207.34,225.85,250.05,23.48
01.06.16 14:27:35,19.82,0,261.26,266.23,264.42,260.8,227.15,197.16,224.98,231.51,203.93,187.51,232.39,226.28,No Sensor,215.47,224.54,236.33,215.9,255.41,214.61,234.14,206.06,228.46,247.82,23.48
01.06.16 14:27:50,20.07,0,261.71,266.68,264.42,260.35,227.15,197.16,224.54,229.33,203.51,187.09,232.82,224.54,No Sensor,214.61,223.67,235.89,217.62,254.52,212.47,235.01,207.76,226.71,248.71,23.48
01.06.16 14:28:05,20.32,0,261.26,266.23,264.87,261.26,227.15,195.9,224.11,229.76,203.09,188.35,231.95,226.71,No Sensor,215.9,221.94,238.53,215.9,255.86,214.61,235.45,206.49,227.59,249.16,23.48
01.06.16 14:28:20,20.57,0,260.8,265.32,263.96,259.9,226.28,195.9,224.54,229.33,202.66,185.01,230.64,225.41,No Sensor,215.04,223.67,237.65,215.47,254.52,212.47,233.7,203.93,224.54,246.05,23.5
01.06.16 14:28:35,20.82,0,261.26,265.77,263.51,260.35,225.85,194.64,224.11,228.89,201.39,184.18,230.64,226.71,No Sensor,215.9,223.24,236.33,214.61,254.52,212.04,234.58,201.81,225.85,246.05,23.5
01.06.16 14:28:50,21.07,0,260.35,267.13,263.96,259.9,227.15,193.37,223.67,228.89,200.54,184.18,230.2,226.28,No Sensor,215.9,222.81,236.33,215.47,256.31,211.61,231.51,202.66,225.85,246.05,23.5
01.06.16 14:29:06,21.33,0,261.71,266.68,264.42,259.9,225.85,192.54,224.11,228.89,200.54,185.43,229.76,225.41,No Sensor,214.18,222.81,238.53,215.47,254.96,213.75,233.26,203.09,226.28,247.38,23.5
01.06.16 14:29:21,21.58,0,262.61,266.23,265.32,259.45,227.15,192.12,225.41,229.33,200.54,184.59,231.07,226.71,No Sensor,215.47,222.81,237.21,216.76,256.31,211.61,234.58,205.21,226.71,248.27,23.5
01.06.16 14:29:36,21.83,0,261.71,266.23,264.42,259.9,226.28,191.28,223.67,228.46,200.12,185.43,229.76,225.85,No Sensor,212.47,221.08,236.77,215.47,258.1,210.75,233.26,203.93,224.54,248.71,23.52
01.06.16 14:29:51,22.08,0,262.16,266.68,264.87,260.8,227.15,192.54,223.67,228.02,200.12,184.18,230.2,227.15,No Sensor,213.32,222.37,238.09,215.04,254.52,212.04,231.95,200.97,225.41,247.82,23.53
01.06.16 14:30:06,22.33,0,261.71,265.77,265.32,260.8,226.28,192.12,222.81,228.02,199.7,185.84,229.33,225.85,No Sensor,213.75,222.81,237.21,214.61,256.31,212.9,233.26,200.12,224.98,246.05,23.52
01.06.16 14:30:21,22.58,0,261.71,267.13,264.42,260.8,225.85,192.12,223.24,227.15,199.27,184.18,228.46,225.85,No Sensor,213.32,222.37,237.65,214.18,254.96,211.61,232.82,200.54,223.24,245.6,23.53
01.06.16 14:30:36,22.83,0,260.8,265.77,263.96,259.9,225.41,191.28,223.24,228.02,198.43,182.52,229.33,223.67,No Sensor,211.18,222.37,238.97,215.47,254.52,210.75,232.39,199.7,222.37,247.82,23.53
01.06.16 14:30:51,23.08,0,261.71,265.32,263.96,260.8,225.41,191.28,222.37,228.02,199.27,184.59,227.15,226.28,No Sensor,212.04,223.24,238.09,213.75,256.31,209.47,229.76,199.7,225.41,245.6,23.54
01.06.16 14:31:06,23.33,0,261.71,265.77,264.42,259.9,224.98,190.02,222.37,226.71,199.27,182.93,228.02,224.54,No Sensor,209.47,221.94,239.41,212.47,255.41,210.33,230.64,199.27,224.54,245.6,23.54
01.06.16 14:31:21,23.58,0,261.26,266.23,264.42,259.9,225.41,189.6,221.94,226.71,199.27,182.1,227.59,226.28,No Sensor,210.75,222.81,239.41,213.32,254.96,209.05,230.64,200.12,222.81,247.38,23.54
01.06.16 14:31:36,23.83,0,261.71,267.13,264.42,258.55,224.98,189.18,221.94,226.28,198.85,180.86,227.15,228.02,No Sensor,211.18,224.11,238.97,210.75,254.52,209.47,229.76,198.01,224.54,246.49,23.55
01.06.16 14:31:51,24.08,0,260.8,266.68,265.32,260.35,224.98,188.77,221.51,227.15,198.85,179.61,227.59,226.28,No Sensor,211.61,222.81,238.53,211.61,256.31,209.05,229.33,200.54,224.98,247.82,23.54
01.06.16 14:32:06,24.33,0,261.26,266.23,264.87,259.9,224.11,187.93,221.51,225.41,197.58,178.37,226.71,226.71,No Sensor,208.62,221.51,240.29,211.61,257.21,209.47,228.46,200.54,224.98,248.27,23.54
01.06.16 14:32:21,24.58,0,261.71,266.23,263.96,259,224.11,187.51,221.08,224.98,198.01,180.44,225.85,225.85,No Sensor,209.9,223.24,239.41,211.61,254.52,207.34,228.46,200.12,223.24,246.93,23.55
01.06.16 14:32:36,24.83,0,261.26,266.68,263.96,259.45,223.67,186.26,220.64,225.41,197.16,178.37,226.28,226.28,No Sensor,208.19,223.24,239.85,209.47,254.96,209.9,228.46,196.74,221.94,247.82,23.55
01.06.16 14:32:51,25.08,0,261.71,266.68,264.42,259.45,222.81,186.68,220.64,224.54,197.16,177.96,225.41,225.41,No Sensor,208.62,223.24,239.85,209.9,253.62,207.34,227.15,198.01,221.51,247.38,23.57
01.06.16 14:33:06,25.33,0,261.71,265.77,264.42,259.9,224.11,185.84,220.64,224.11,196.32,175.48,225.41,226.71,No Sensor,208.62,222.81,240.74,207.34,255.41,208.19,226.71,197.58,220.64,246.93,23.57
01.06.16 14:33:21,25.58,0,262.61,267.13,263.96,259,222.37,186.68,220.21,225.41,196.74,176.31,225.85,228.02,No Sensor,207.76,223.24,240.74,210.33,254.07,207.76,226.71,198.01,221.94,245.6,23.57
01.06.16 14:33:37,25.85,0,262.16,267.13,263.96,259.45,222.81,185.84,220.64,224.54,196.74,175.48,226.28,228.02,No Sensor,208.19,222.37,241.62,209.05,255.86,206.91,227.15,198.01,222.81,246.05,23.57
01.06.16 14:33:52,26.1,0,262.16,266.68,264.87,260.35,221.51,185.01,220.64,224.11,196.32,175.07,226.28,229.33,No Sensor,208.19,222.37,241.18,207.76,255.86,205.21,224.11,198.01,222.81,247.82,23.57
01.06.16 14:34:07,26.35,0,262.16,267.13,264.87,259.45,222.37,185.01,220.64,224.11,195.9,174.25,225.85,229.76,No Sensor,206.91,221.94,241.18,208.62,254.52,208.19,224.98,197.16,223.24,247.38,23.57
01.06.16 14:34:22,26.6,0,262.61,267.13,263.96,259.45,221.08,184.18,220.64,223.24,195.48,173.42,225.85,230.2,No Sensor,206.06,222.81,239.85,208.19,254.52,204.78,224.54,199.27,220.64,246.93,23.59
01.06.16 14:34:37,26.85,0,261.71,266.23,264.87,259.45,221.51,183.35,219.35,222.81,195.48,173.83,226.71,229.76,No Sensor,206.06,222.37,239.85,209.05,256.31,206.06,224.54,200.12,219.78,247.38,23.59
01.06.16 14:34:52,27.1,0,262.16,267.13,264.42,259.9,221.51,183.35,220.21,221.94,193.37,172.6,227.15,228.89,No Sensor,206.91,222.37,240.74,211.18,257.66,206.91,225.41,200.54,219.78,247.38,23.57
01.06.16 14:35:07,27.35,0,262.16,266.68,263.96,259.9,222.37,182.1,220.21,222.37,193.8,173.83,226.28,227.59,No Sensor,207.34,221.94,239.85,210.33,256.76,204.36,224.11,197.58,220.21,246.05,23.59
01.06.16 14:35:22,27.6,0,261.71,266.68,263.96,259.45,221.08,181.27,219.35,221.94,192.54,172.6,224.98,228.46,No Sensor,204.78,223.67,239.41,209.47,253.17,205.64,225.41,195.9,218.92,246.05,23.59
01.06.16 14:35:37,27.85,0,261.26,266.23,263.96,258.55,220.64,180.44,218.49,221.08,192.54,172.19,225.85,228.02,No Sensor,206.91,223.67,238.53,209.05,257.21,203.09,222.81,198.01,221.51,245.16,23.61
01.06.16 14:35:52,28.1,0,261.26,267.13,264.42,259.45,221.08,181.27,218.92,221.51,192.95,171.78,225.41,230.2,No Sensor,205.21,224.11,238.97,208.19,255.41,204.78,224.11,197.58,218.49,245.16,23.59
01.06.16 14:36:07,28.35,0,260.8,266.23,265.32,259.9,220.64,181.69,218.49,221.51,192.12,171.78,225.85,228.46,No Sensor,203.09,222.81,236.33,207.34,255.86,202.66,223.67,197.16,216.33,244.27,23.59
01.06.16 14:36:22,28.6,0,262.16,265.77,263.06,258.55,218.92,179.2,218.05,220.64,191.28,172.19,224.98,227.59,No Sensor,205.21,224.98,237.21,208.19,254.96,204.36,222.81,196.32,219.35,245.16,23.59
01.06.16 14:36:37,28.85,0,261.71,266.23,265.32,259,219.78,179.61,218.49,221.08,191.28,169.73,225.41,226.71,No Sensor,203.93,224.54,237.65,208.62,256.31,202.24,222.81,195.9,217.19,245.16,23.59
01.06.16 14:36:52,29.1,0,261.26,266.68,264.42,258.55,220.21,179.2,218.49,221.08,190.86,171.37,226.28,228.46,No Sensor,204.36,225.41,238.53,208.62,256.31,203.09,223.67,194.64,217.62,244.72,23.59
01.06.16 14:37:08,29.37,0,260.8,265.77,264.87,259.45,218.92,177.96,218.05,220.64,189.6,168.91,225.41,228.89,No Sensor,202.66,224.11,238.97,206.91,254.07,201.39,220.21,192.54,217.62,245.6,23.64
01.06.16 14:37:23,29.62,0,261.71,267.13,263.51,259,217.62,178.37,218.49,219.78,188.77,170.55,224.11,229.76,No Sensor,204.78,224.54,236.77,206.91,254.07,200.54,222.81,194.64,216.76,243.83,23.68
01.06.16 14:37:38,29.87,0,261.26,265.77,264.42,258.55,218.92,178.79,217.62,221.08,189.18,169.73,224.54,228.89,No Sensor,205.64,225.85,238.09,206.91,256.31,202.24,223.24,192.95,218.49,244.72,23.68
