channel,difference,water_weight,daph_weight,daph_weight_median
A5,0.1711,0.09205833333,0.07904166667,0.06614166667
A6,0.1805,0.09205833333,0.08844166667,0.06614166667
B1,0.1582,0.09205833333,0.06614166667,0.06614166667
B2,0.07955,0.09205833333,-0.01250833333,0.06614166667
B3,0.09785,0.09205833333,0.005791666667,0.06614166667
B4,0.3097333333,0.09205833333,0.217675,0.06614166667
B5,0.1099,0.09205833333,0.01784166667,0.06614166667
B6,0.1582666667,0.09205833333,0.06620833333,0.06614166667
C1,0.1715,0.09205833333,0.07944166667,0.06614166667
C3,0.10985,0.09205833333,0.01779166667,0.06614166667
C4,0.1748,0.09205833333,0.0827,0.06614166667
C5,0.1897,0.09205833333,0.09764166667,0.06614166667
C6,0.1245,0.09205833333,0.03244166667,0.06614166667
D1,0.175,0.09205833333,0.08294166667,0.06614166667
D2,0.1078333333,0.09205833333,0.015775,0.06614166667
D3,0.1483,0.09205833333,0.05624166667,0.06614166667
D4,0.18905,0.09205833333,0.09699166667,0.06614166667
D5,0.12445,0.09205833333,0.03239166667,0.06614166667
D6,0.06005,0.09205833333,-0.03200833333,0.06614166667
